animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,class_type
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2
lark,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,2
lion,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,2
rhea,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,4
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,4
penguin,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,2
puma,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,2
moth,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2
newt,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,2
octopus,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2
opossum,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,2
sealion,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,4
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,4
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,4
oryx,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,2
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,2
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,4
puma,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,4
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,4
lobster,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
lynx,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,2
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,4
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,4
mink,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,2
mole,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,2
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,4
